,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Acipenser,0,1,0,243,1416,12172,9705,11613,15862,2424,9072,4536,5,0,3226,1,1,1,0,0,4,2533,20592,3137023,5109957,4571467,3997099,5676013,7096032,11010922,12656125,13450183,8565758,7555515,11007887,11760592,43666411,447223600,414051577,759082081,1756782174,910813244,852952625,708011179,20646595,44162,0
Aloe,0,307,52377,2884,52393,35361,928612,919707,593036,600110,788940,875208,712906,732121,1231176,1991089,1937266,1684369,2697960,2262072,1508796,624147,1195917,858662,1287815,954887,1341464,1563273,3713805,1879236,3065547,2070461,1817048,1492334,2667498,4054457,3155577,4212560,3919165,6735908,2118214287,43556718,43536857,67584978,35774579,218173,0
Cymbidium,0,2,6895,1608,6679,8019,11908,36153,564236,314591,680837,1002885,431079,470947,372856,895833,1621734,1109851,813898,26780109,2850700,1904457,1656810,419720,4416499,4431920,7811486,7843877,6921180,10704716,32196492,52098929,54753702,39384419,36451032,36561727,52144483,28796600,30735189,40970651,25846095,30899183,1476268,33467704,4332196,772,0
Dendrobium,0,1106,4289,6470,27305,20006,28991,42955,1899696,269410,582541,1708875,2331975,3961589,3860256,6366221,13940551,7999079,6781496,9220530,8571477,7773551,7515733,6271204,5074886,8879485,11125578,37289315,37758600,39505030,44141157,37694082,11898453,13566295,31556374,10585788,29099022,16228623,26182471,29080577,29255557,28693862,26979240,40455186,41177047,240,0
Euphorbia,0,355,3376,71956,262983,406523,562359,495452,396726,650534,1488893,2610201,1487287,2088737,1437751,2848794,3446052,3113343,4488720,2899038,2634859,2495404,2084019,1297346,2017041,1086591,1783567,2999322,3979710,4043931,3502001,3860258,3567094,4829327,28610029,10239064,7786235,10897442,11803964,10794914,508109699,22515060,137541946,10950662,7459803,60,0
Galanthus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45976203,31750118,25016561,21486929,30532075,7753142,22444502,41022966,45665983,48169022,63111510,66348151,52169836,77628430,74138394,69639699,62046153,55877344,53286183,56885744,37590288,59368689,59815463,70677915,55674520,63515752,64876257,68621575,75125477,44058031,13914271,0
Phalaenopsis,0,55,1333,2361,9941,5434,10624,19814,35458,185802,169164,441629,467380,941679,1182363,1198342,987428,1264905,1044896,2290717,5196187,7083302,8422670,8230816,3928479,5215112,6735211,10479221,15897500,13346860,16678187,23014865,26153870,30914534,45147556,36380209,57430125,41095351,29084099,29522890,46447527,77062704,99455901,104763577,39199187,500208,0
Varanus,63063,749918,614397,996129,1573125,2801237,7745339,4838183,5463826,9310512,13502938,9465170,12638994,14203507,18815805,16766421,10035224,7720416,4855380,5076409,5127214,4602615,4045380,4030764,3895615,5078785,4764413,3544957,3324767,3786593,4395290,4202808,3682391,2719541,2284706,2550000,2844617,3090690,2120232,1757876,2062808,1943883,2036997,2543713,1856458,15221,53
Gonystylus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254599,12519298,1741858,828708,629857,584371,1518112,592072,4643698,4525751,17112,107712394,851192435,6868800,5391719,15838993,16837489,1012647,7772,0,0
Aquilaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917156,1071998,873067,1177855,850333,1247307,642482,535288,1037510,954450,1915873,2392492,2524303,2244632,2429143,2910971,6087244,17299069,29728039,12897645,13585685,17013508,4697792,31627385,85641714,18862,0
Chlorocebus,0,0,702,1527,1947,3840,2644,4209,4061,5627,10683,19494,9229,13229,16090,5501,5218,3564,4598,4360,4826,5475,10437,51067,143045,129334,113976,154657,189548,239586,212901,285047,279145,444971,350527,213693,154275,93415,80274,56008,84131,106664,68233,321426,360103693,38001,0
Bulnesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046030,795103,16612735,32234218,38261049,29487442,27620666,1285202826,2674140887,201080474,17022965,3162210,150,0
Loxodonta,0,0,745167,5686500,5068030,5296839,6454900,11460932,11104813,12394539,15586763,16510460,32521196,32366538,58358855,9593047,1078969,77801,51352,35677,21441,32028,19166,39262,112780,56056,41479,41744,47080,43333,60892,39886,35596,166459,150755,66100,203300,337531,324760,195328,84723,57976,70732,80914,32042,3,0
Pericopsis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19660,73707,88510,273013,695984,91827,45272,162719,21135,85542,82347,25197,46564,30297,41491,144991,90728,22632,89823,58718,97624631,39617997,19217896,50224500,58194932,19412860,24164336,126792,30287,0
