,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Acipenser,0,1,1,244,1660,13832,23537,35150,51012,53436,62508,67044,67049,67049,70275,70276,70277,70278,70278,70278,70282,72815,93407,3230430,8340387,12911854,16908953,22584966,29680998,40691920,53348045,66798228,75363986,82919501,93927388,105687980,149354391,596577991,1010629568,1769711649,3526493823,4437307067,5290259692,5998270871,6018917466,6018961628,6018961628
Aloe,0,307,52684,55568,107961,143322,1071934,1991641,2584677,3184787,3973727,4848935,5561841,6293962,7525138,9516227,11453493,13137862,15835822,18097894,19606690,20230837,21426754,22285416,23573231,24528118,25869582,27432855,31146660,33025896,36091443,38161904,39978952,41471286,44138784,48193241,51348818,55561378,59480543,66216451,2184430738,2227987456,2271524313,2339109291,2374883870,2375102043,2375102043
Cymbidium,0,2,6897,8505,15184,23203,35111,71264,635500,950091,1630928,2633813,3064892,3535839,3908695,4804528,6426262,7536113,8350011,35130120,37980820,39885277,41542087,41961807,46378306,50810226,58621712,66465589,73386769,84091485,116287977,168386906,223140608,262525027,298976059,335537786,387682269,416478869,447214058,488184709,514030804,544929987,546406255,579873959,584206155,584206927,584206927
Dendrobium,0,1106,5395,11865,39170,59176,88167,131122,2030818,2300228,2882769,4591644,6923619,10885208,14745464,21111685,35052236,43051315,49832811,59053341,67624818,75398369,82914102,89185306,94260192,103139677,114265255,151554570,189313170,228818200,272959357,310653439,322551892,336118187,367674561,378260349,407359371,423587994,449770465,478851042,508106599,536800461,563779701,604234887,645411934,645412174,645412174
Euphorbia,0,355,3731,75687,338670,745193,1307552,1803004,2199730,2850264,4339157,6949358,8436645,10525382,11963133,14811927,18257979,21371322,25860042,28759080,31393939,33889343,35973362,37270708,39287749,40374340,42157907,45157229,49136939,53180870,56682871,60543129,64110223,68939550,97549579,107788643,115574878,126472320,138276284,149071198,657180897,679695957,817237903,828188565,835648368,835648428,835648428
Galanthus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45976203,77726321,102742882,124229811,154761886,162515028,184959530,225982496,271648479,319817501,382929011,449277162,501446998,579075428,653213822,722853521,784899674,840777018,894063201,950948945,988539233,1047907922,1107723385,1178401300,1234075820,1297591572,1362467829,1431089404,1506214881,1550272912,1564187183,1564187183
Phalaenopsis,0,55,1388,3749,13690,19124,29748,49562,85020,270822,439986,881615,1348995,2290674,3473037,4671379,5658807,6923712,7968608,10259325,15455512,22538814,30961484,39192300,43120779,48335891,55071102,65550323,81447823,94794683,111472870,134487735,160641605,191556139,236703695,273083904,330514029,371609380,400693479,430216369,476663896,553726600,653182501,757946078,797145265,797645473,797645473
Varanus,63063,812981,1427378,2423507,3996632,6797869,14543208,19381391,24845217,34155729,47658667,57123837,69762831,83966338,102782143,119548564,129583788,137304204,142159584,147235993,152363207,156965822,161011202,165041966,168937581,174016366,178780779,182325736,185650503,189437096,193832386,198035194,201717585,204437126,206721832,209271832,212116449,215207139,217327371,219085247,221148055,223091938,225128935,227672648,229529106,229544327,229544380
Gonystylus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254599,12773897,14515755,15344463,15974320,16558691,18076803,18668875,23312573,27838324,27855436,135567830,986760265,993629065,999020784,1014859777,1031697266,1032709913,1032717685,1032717685,1032717685
Aquilaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917156,1989154,2862221,4040076,4890409,6137716,6780198,7315486,8352996,9307446,11223319,13615811,16140114,18384746,20813889,23724860,29812104,47111173,76839212,89736857,103322542,120336050,125033842,156661227,242302941,242321803,242321803
Chlorocebus,0,0,702,2229,4176,8016,10660,14869,18930,24557,35240,54734,63963,77192,93282,98783,104001,107565,112163,116523,121349,126824,137261,188328,331373,460707,574683,729340,918888,1158474,1371375,1656422,1935567,2380538,2731065,2944758,3099033,3192448,3272722,3328730,3412861,3519525,3587758,3909184,364012877,364050878,364050878
Bulnesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046030,1841133,18453868,50688086,88949135,118436577,146057243,1431260069,4105400956,4306481430,4323504395,4326666605,4326666755,4326666755
Loxodonta,0,0,745167,6431667,11499697,16796536,23251436,34712368,45817181,58211720,73798483,90308943,122830139,155196677,213555532,223148579,224227548,224305349,224356701,224392378,224413819,224445847,224465013,224504275,224617055,224673111,224714590,224756334,224803414,224846747,224907639,224947525,224983121,225149580,225300335,225366435,225569735,225907266,226232026,226427354,226512077,226570053,226640785,226721699,226753741,226753744,226753744
Pericopsis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19660,93367,181877,454890,1150874,1242701,1287973,1450692,1471827,1557369,1639716,1664913,1711477,1741774,1783265,1928256,2018984,2041616,2131439,2190157,99814788,139432785,158650681,208875181,267070113,286482973,310647309,310774101,310804388,310804388
