,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
US,0,73279,857086,4595958,4195577,3393390,7910899,4452356,3811509,7726320,13697866,14631782,10986088,8320444,7749684,15731531,12974791,9812609,12002697,10349554,6460604,6027383,4413136,6815359,11038352,9209597,8678537,15818767,17592417,16767703,17646343,19368470,8734873,10422670,17551287,15289060,14751155,14748014,12349831,16215854,21783055,153119581,90886290,14722858,8991570,135841,0
GB,0,353999,71416,196633,198433,277473,407081,442471,413646,201128,534082,517263,526096,776446,816474,705172,374644,240738,244472,109505,352038,148963,141152,86350,144351,133545,385597,9928582,631445,809745,451099,495729,340244,641753,519938,699410,712611,1240595,317425,1908419,7730024,11511981,1747338,866634,158856,72,0
DE,0,13889,96160,795572,1062322,1490714,1514253,2209164,1079298,664518,1039867,2054543,1426476,683142,626347,364226,710181,501328,376750,538737,546712,426699,519054,721010,876749,1248170,1670439,1394152,1846685,1460474,1305860,1278423,5433492,5987305,14114807,9190769,19210560,9201451,4739192,2692095,218609464,72794381,453349939,106944496,6604202,58,0
IT,0,6105,33775,134363,63667,1332753,1797220,1044760,502128,423367,399732,334751,263731,415509,162601,141795,207380,193844,98850,177160,217052,233206,287539,449556,624891,1023227,617120,489190,450218,572884,681043,400781,845510,606090,298572,429716,532902,466499,444870,5340004,423208,488190,2220145,1231825,542443,90,0
AU,0,1050,15,10004,14917,35680,61659,18211,79019,109332,31897,53295,32180,48357,18378,28514,29002,52306,5833,13094,1931,3812,5625,3971,16574,16388,11665,9726,53608,177536,133191,157478,102082,153161,820387,568655,559887,905608,359926,6300278,1076772,1123097,462580,424054,331362,15,0
BE,0,31390,20821,6530,10509,19914,11787,25950,264373,182685,171755,232467,124991,235649,131011,79080,51494,30936,6719,12257,7990,15461,11259,71298,43611,47619,133738,35058,137673,177035,193269,85978,51110,68584,473919,369856,230892,57753,57410,59234,68738,40364,6104893,536862,970413,1504,0
CH,51110,138794,265238,218447,210066,325131,267771,351197,377632,294773,500906,407017,1005002,1484877,2496194,4374605,2737972,2416095,932013,3202513,213086,1027448,533353,552205,628426,1544909,1979989,1880979,6277742,4420793,2887257,2958956,1903731,3055231,2375954,3114006,23025472,486995523,1208964015,618336028,5294870381,3357660847,307567669,444735878,1193740,15,0
NL,0,2,3854,62970,13377,23812,214878,53471,56301,56431,96650,138202,124514,307792,156877,27543570,19661893,13421676,13743128,17444972,4849363,18775956,27960766,34534596,32775529,54925944,43733989,45642409,62783626,57012298,53800036,47031359,43798110,44112697,50031879,34759049,49656012,51763448,53881774,48106953,55473089,52098483,57609828,60921615,43962317,13922571,0
LU,0,0,0,0,33,320,133,5,517,2601,366,6597,2099,3856,489,1653,68,175,3,0,4,5,2,1,9150,13584,8727,4126,4956,1482,820,5009,1378,1419,1540,2034,2124,777,1592,2554,4119,4173,1708,3500,4791,2,0
JP,0,5273,3852,86637,286366,413302,1610910,7010149,10499120,7534786,9006608,6953288,5472014,7305757,9145591,10739463,14525799,10500361,9695072,12218143,15165951,16524348,16789243,11463210,2040615,3350771,2814750,8477394,10848079,9850145,10562658,9047230,4993096,5123029,8863449,6610129,9161977,8852025,7765440,7409147,6430155,5039849,6920217,8040331,6689696,169,0
